timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1585851377819,13645,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851377819,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851378820,61784,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851378820,11276,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851378820,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851379821,61788,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851379821,15839,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851379821,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851380821,61788,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851380821,10177,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851380821,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851381821,61782,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851381821,12400,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851381821,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851382822,61783,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851382822,13976,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851382822,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851383823,61780,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851383823,11346,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851383823,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851384823,61807,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851384823,11683,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851384823,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851385824,61826,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851385824,15228,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851385824,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851386824,61823,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851386824,14349,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851386824,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851387825,61823,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851387825,11593,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851387825,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851388825,61816,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851388825,16753,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851388825,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851389825,61817,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851389825,14471,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851389825,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851390826,61816,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851390826,13920,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851390826,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851391826,61817,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851391826,17928,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851391826,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851392827,61817,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851392827,12610,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851392827,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851393828,61818,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851393828,13296,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851393828,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851394828,61816,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851394828,15982,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851394828,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851395829,61815,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851395829,13175,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851395829,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851396829,61812,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851396829,11242,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851396829,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851397829,61808,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851397829,16004,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851397829,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851398830,61823,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851398830,11700,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851398830,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851399830,61832,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851399830,14499,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851399830,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851400831,61822,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851400831,18345,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
